Date,Glacier,Mountain_range,SSP,Sample,Site,clim_bio1,clim_bio10,clim_bio11,clim_bio12,clim_bio13,clim_bio14,clim_bio15,clim_bio16,clim_bio17,clim_bio18,clim_bio19,clim_bio2,clim_bio3,clim_bio4,clim_bio5,clim_bio6,clim_bio7,clim_bio8,clim_bio9,clim_fcf,clim_fgd,clim_pr,clim_scd,clim_tas,clim_tasmax,clim_tasmin,elevation,gl_area,gl_coverage,gl_dist,gl_index,glims_id,latitude,longitude,min_calcite,min_clays,min_feldspar,min_quartz,rgi_v6,pc_water_temp_predicted,pc_turbidity_predicted,pc_conductivity_predicted,pc_ph_predicted,nut_din_predicted,nut_srp_predicted,chla_predicted,bacterial_abundance_predicted,shannon_predicted,pielou_predicted,mntd_predicted,mpd_predicted,pd_predicted,bioclim_PC1,bioclim_PC2,bioclim_PC3,bioclim_PC4,bioclim_PC5,bioclim_PC6
Present,GL100,European Alps,126,GL100_DN,DN,0.0500000000000113,9.45000000000004,-9.04999999999996,2010.9,233.1,116.8,19.6,635.5,401.4,401.4,513.4,9.3,0.320000004768372,722.8,15.05,-13.95,29,-4.04999999999995,9.45000000000004,113,224,5.27171668475086,291,6.45000000000005,10.95,0.850000000000023,2234,0.401467882524009,0.479425538604203,336,0.0036245911165532,G006302E44881N,44.8863,6.2941,-5.27851473925186,1.21674710281447,-3.07585831803328,-2.75750308482174,RGI60-11.03817,0.146754182333457,3.5172117023172,4.93400805746095,7.52393652066497,5.04662631138884,0.41337385560077,-4.78526174695572,16.163637784347,6.10665201889959,0.787628540916127,0.0846633410965233,1.77559002666155,296.717964981086,0.218843536971203,1.23285859196819,1.10253217514287,0.587804692952031,-1.19831749428359,-0.397268255693145
Present,GL100,European Alps,370,GL100_DN,DN,0.0500000000000113,9.45000000000004,-9.04999999999996,2010.9,233.1,116.8,19.6,635.5,401.4,401.4,513.4,9.3,0.320000004768372,722.8,15.05,-13.95,29,-4.04999999999995,9.45000000000004,113,224,5.27171668475086,291,6.45000000000005,10.95,0.850000000000023,2234,0.415426085130575,0.479425538604203,336,0.00364988360417308,G006302E44881N,44.8863,6.2941,-5.27851473925186,1.21674710281447,-3.07585831803328,-2.75750308482174,RGI60-11.03817,0.146754182333457,3.51978031091206,4.93400805746095,7.52494869126071,5.04662631138884,0.414351109829862,-4.78749658414666,16.1637276715995,6.10665201889959,0.787628540916127,0.0846540567168115,1.7752450703674,296.717996082192,0.218843536971203,1.23285859196819,1.10253217514287,0.587804692952031,-1.19831749428359,-0.397268255693145
Present,GL100,European Alps,585,GL100_DN,DN,0.0500000000000113,9.45000000000004,-9.04999999999996,2010.9,233.1,116.8,19.6,635.5,401.4,401.4,513.4,9.3,0.320000004768372,722.8,15.05,-13.95,29,-4.04999999999995,9.45000000000004,113,224,5.27171668475086,291,6.45000000000005,10.95,0.850000000000023,2234,0.410131622329127,0.479425538604203,336,0.00364026931889153,G006302E44881N,44.8863,6.2941,-5.27851473925186,1.21674710281447,-3.07585831803328,-2.75750308482174,RGI60-11.03817,0.146754182333457,3.51692156779996,4.93400805746095,7.52242082529278,5.04662631138884,0.413832953830569,-4.78447347791676,16.1635181114777,6.10665201889959,0.787628540916127,0.0846733216832438,1.77530473371676,296.717940946969,0.218843536971203,1.23285859196819,1.10253217514287,0.587804692952031,-1.19831749428359,-0.397268255693145
Present,GL100,European Alps,126,GL100_UP,UP,0.0500000000000113,9.45000000000004,-9.04999999999996,2010.9,233.1,116.8,19.6,635.5,401.4,401.4,513.4,9.3,0.320000004768372,722.8,15.05,-13.95,29,-4.04999999999995,9.45000000000004,113,224,5.27171668475086,291,6.45000000000005,10.95,0.850000000000023,2301,0.401467882524009,0.49654620093623,101,0.0119572051481736,G006302E44881N,44.8843,6.2934,-5.27851473925186,1.21674710281447,-3.07585831803328,-2.75750308482174,RGI60-11.03817,-0.25909185669212,3.52430893620728,4.90402539249718,7.52392513300484,5.0476625749562,0.38847170889887,-4.80281447458526,16.1635737130808,6.09301273357408,0.785879690933436,0.0846606561773961,1.77710472743662,296.718176970191,0.218843536971203,1.23285859196819,1.10253217514287,0.587804692952031,-1.19831749428359,-0.397268255693145
Present,GL100,European Alps,370,GL100_UP,UP,0.0500000000000113,9.45000000000004,-9.04999999999996,2010.9,233.1,116.8,19.6,635.5,401.4,401.4,513.4,9.3,0.320000004768372,722.8,15.05,-13.95,29,-4.04999999999995,9.45000000000004,113,224,5.27171668475086,291,6.45000000000005,10.95,0.850000000000023,2301,0.415426085130575,0.49654620093623,101,0.0120399402139834,G006302E44881N,44.8843,6.2934,-5.27851473925186,1.21674710281447,-3.07585831803328,-2.75750308482174,RGI60-11.03817,-0.25909185669212,3.52818759775436,4.90402539249718,7.52493692384529,5.04766260284458,0.38859552758393,-4.805375382839,16.1636634040903,6.09301273357408,0.785879690933436,0.0846501973758535,1.77699885046245,296.718229084154,0.218843536971203,1.23285859196819,1.10253217514287,0.587804692952031,-1.19831749428359,-0.397268255693145
Present,GL100,European Alps,585,GL100_UP,UP,0.0500000000000113,9.45000000000004,-9.04999999999996,2010.9,233.1,116.8,19.6,635.5,401.4,401.4,513.4,9.3,0.320000004768372,722.8,15.05,-13.95,29,-4.04999999999995,9.45000000000004,113,224,5.27171668475086,291,6.45000000000005,10.95,0.850000000000023,2301,0.410131622329127,0.49654620093623,101,0.0120084917552809,G006302E44881N,44.8843,6.2934,-5.27851473925186,1.21674710281447,-3.07585831803328,-2.75750308482174,RGI60-11.03817,-0.25909185669212,3.52351958962432,4.90402539249718,7.5224095422107,5.04766259632123,0.388709959733135,-4.80298296094113,16.1634539428958,6.09301273357408,0.785879690933436,0.0846729084418668,1.77692419279234,296.718050431681,0.218843536971203,1.23285859196819,1.10253217514287,0.587804692952031,-1.19831749428359,-0.397268255693145
Future,GL100,European Alps,126,GL100_UP,UP,1.83000000000003,11.63,-7.50999999999997,2023.84,237.66,112.58,21.36,642.2,391.14,391.24,532.72,9.54,0.315159335136414,751.06,17.61,-12.59,30.2,-2.54999999999997,11.61,116.8,203.2,5.21248710994284,263.2,8.85000000000003,13.61,2.95000000000002,2301,-0.696086981414051,0.295668681768364,1129.5,0.00062471506156893,G006302E44881N,44.8843,6.2934,-5.27851473925186,1.21674710281447,-3.07585831803328,-2.75750308482174,RGI60-11.03817,1.09580508351374,3.0873241099464,5.21600849100253,7.39794218102081,4.97539395647216,0.38285942814895,-3.95972656154202,16.3809751724357,6.24865643320201,0.803526831960909,0.0858028354985355,1.78017594614885,296.679575089516,-0.111730745686747,1.99379597363516,1.24281083774828,-0.0601527708959808,-1.19309769057976,-0.511341382142301
Future,GL100,European Alps,370,GL100_UP,UP,4.33000000000004,14.93,-5.32999999999996,1900.38,225.72,99.72,22.38,600.74,347.6,349.16,533.96,9.74,0.307668194770813,797.72,21.43,-10.21,31.64,-1.20999999999996,14.91,125.6,178,5.14917910354431,227.8,11.71,16.63,5.69000000000002,2301,-3.73576820131643,0.0651342443284617,2111,7.31343449691555e-05,G006302E44881N,44.8843,6.2934,-5.27851473925186,1.21674710281447,-3.07585831803328,-2.75750308482174,RGI60-11.03817,1.58959118456531,1.85744478520684,5.59638876201666,7.05604908781149,4.91950613892174,0.137821765300185,-2.11315886493967,16.9034713781913,6.37787874066046,0.818871461138707,0.0891579287826291,1.82893862991918,296.627409245502,-0.486905693012543,3.14142786636958,1.62493646493033,-0.961818644948228,-1.24623083375226,-0.565235010516309
Future,GL100,European Alps,585,GL100_UP,UP,5.37000000000004,16.43,-4.50999999999997,1854.96,214.12,94.98,22.68,594.72,336.56,338.48,533.42,10.5,0.318379325866699,823.72,22.99,-9.98999999999996,32.98,-1.22999999999997,16.29,138.6,167.4,5.10636962635945,213.6,12.85,17.85,6.07000000000004,2301,-4.18159057084115,0.0522609247141195,2138.5,5.77584305739035e-05,G006302E44881N,44.8843,6.2934,-5.27851473925186,1.21674710281447,-3.07585831803328,-2.75750308482174,RGI60-11.03817,1.582652652103,1.69110548759151,5.62055488201252,6.99672417233232,4.89547692930784,0.112663217840637,-1.77251567924507,16.9716986121637,6.38869542593593,0.819981419061985,0.0899607408102309,1.83228576073697,296.586415291391,-0.560902894490941,3.61906071506158,1.76016029178805,-1.35649766934218,-1.42963066657702,-0.88509710821291
Present,GL101,European Alps,126,GL101_DN,DN,0.150000000000034,9.55000000000001,-8.94999999999999,1906.2,217.8,112.9,18.6,598.2,384.1,384.1,492.6,9.3,0.321000003814697,720.7,15.15,-13.85,29,-3.84999999999997,9.55000000000001,113,220,5.20702410810165,286,6.55000000000001,11.05,0.950000000000046,2008,0.64186237510071,0.352793721076243,1899,0.000725331792696064,G006263E44892N,44.9148,6.2582,-4.99083266680008,0.794598682601887,-1.81431187369857,-1.16171184561143,RGI60-11.03694,1.6331380957885,3.58433384020123,5.12265961487271,7.38667517146155,5.04227414881941,1.01589228102354,-4.88017195381603,15.8488148222064,6.24934439126945,0.802005129831485,0.0820040996914131,1.76645270072553,296.729409081894,0.283929089435393,1.2716249022869,1.22198788317373,0.540281769098005,-1.15562839446921,-0.390401458777235
